Обозначение	Тип	Наименование	Ревизия	Описание
TST-2450-1015-000-D510	I8_PseudoAssy	TST-2450-1015-000-D510	002	Профиль. ПСК
TST-2450-1016-001-D510	I8_PseudoAssy	TST-2450-1016-001-D510	002	Профиль. ПСК
TST-2450-1016-002-D510	I8_PseudoAssy	TST-2450-1016-002-D510	002	Профиль. ПСК
TST-2450-1017-001-D510	I8_PseudoAssy	TST-2450-1017-001-D510	002	Профиль. ПСК
TST-2450-1017-002-D510	I8_PseudoAssy	TST-2450-1017-002-D510	002	Профиль. ПСК
TST-2450-1018-000-D510	I8_PseudoAssy	TST-2450-1018-000-D510	002	Профиль. ПСК
TST-2450-1020-000-D510	I8_PseudoAssy	TST-2450-1020-000-D510	003	Установка устройства распределительного MAIN-LPDB. ПСК
TST-2450-1022-000-D510	I8_PseudoAssy	TST-2450-1022-000-D510	002	Профиль. ПСК
TST-2450-A000-000-D500	I8_PseudoAssy	TST-2450-A000-000-D500	001	Система распределения переменного тока в отсеке Ф1. ПСО
TST-2460-1010-000-D510	I8_PseudoAssy	TST-2460-1010-000-D510	006	Установка устройства распределительного ESS-RPDB. ПСК
TST-2460-1012-001-D510	I8_PseudoAssy	TST-2460-1012-001-D510	002	Профиль. ПСК
TST-2460-1012-002-D510	I8_PseudoAssy	TST-2460-1012-002-D510	002	Профиль. ПСК
TST-2460-1020-000-D510	I8_PseudoAssy	TST-2460-1020-000-D510	006	Установка устройства распределительного ESS-LPDB. ПСК
TST-2460-1030-000-D510	I8_PseudoAssy	TST-2460-1030-000-D510	004	Установка устройства распределительного ESS-MPDB. ПСК
TST-2460-1032-000-D510	I8_PseudoAssy	TST-2460-1032-000-D510	002	Профиль. ПСК
TST-2460-A000-000-D500	I8_PseudoAssy	TST-2460-A000-000-D500	001	Система распределения постоянного тока в отсеке Ф1. ПСО
TST-2470-1010-000-D510	I8_PseudoAssy	TST-2470-1010-000-D510	004	Установка мастера SPDB (RM), правый борт. ПСК
TST-2470-1012-001-D510	I8_PseudoAssy	TST-2470-1012-001-D510	002	Профиль. ПСК
TST-2470-1012-003-D510	I8_PseudoAssy	TST-2470-1012-003-D510	002	Профиль. ПСК
TST-2470-1013-000-D510	I8_PseudoAssy	TST-2470-1013-000-D510	002	Поддон. ПСК
TST-2470-1020-000-D510	I8_PseudoAssy	TST-2470-1020-000-D510	004	Установка мастера SPDB (LM), левый борт. ПСК
TST-2470-1021-000-D510	I8_PseudoAssy	TST-2470-1021-000-D510	002	Поддон. ПСК
TST-2470-2010-000-D510	I8_PseudoAssy	TST-2470-2010-000-D510	004	Установка SPDB SRM. ПСК
TST-2470-2013-000-D510	I8_PseudoAssy	TST-2470-2013-000-D510	001	Профиль. ПСК
TST-2470-2014-000-D510	I8_PseudoAssy	TST-2470-2014-000-D510	001	Профиль. ПСК
TST-2470-4010-000-D510	I8_PseudoAssy	TST-2470-4010-000-D510	004	Установка SPDB SLM. ПСК
TST-2470-4013-000-D510	I8_PseudoAssy	TST-2470-4013-000-D510	001	Профиль. ПСК
TST-2470-4016-001-D510	I8_PseudoAssy	TST-2470-4016-001-D510	001	Профиль. ПСК
TST-2470-A000-000-D500	I8_PseudoAssy	TST-2470-A000-000-D500	001	Средства распределения вторичные в отсеке Ф1. ПСО
TST-2470-B000-000-D500	I8_PseudoAssy	TST-2470-B000-000-D500	001	Средства распределения вторичные в отсеке Ф2. ПСО
TST-2470-D000-000-D500	I8_PseudoAssy	TST-2470-D000-000-D500	001	Средства распределения вторичные в отсеке Ф4. ПСО
TST-2510-A000-001-D500	I8_PseudoAssy	TST-2510-A000-001-D500	002	Кабина экипажа в отсеке Ф1. ПСО
TST-2511-0300-000-PKI1	I8_PKIAssy_draft	TST-2511-0300-000-PKI1	002	Облицовка бокового пульта правого
TST-2511-0350-000-PKI1	I8_PKIAssy_draft	TST-2511-0350-000-PKI1	002	Облицовка бокового пульта левого
TST-2511-0400-000-PKI1	I8_PKIAssy_draft	TST-2511-0400-000-PKI1	002	Отделка центрального пульта
TST-2513-0000-000-D510	I8_PseudoAssy	TST-2513-0000-000-D510	001	Установка кресла проверяющего.ПСК
TST-2514-0000-000-D510	I8_PseudoAssy	TST-2514-0000-000-D510	001	Установка гардероба экипажа. ПСК
TST-2515-0000-000-D510	I8_PseudoAssy	TST-2515-0000-000-D510	001	Установка стойки проверяющего. ПСК
TST-2519-0000-000-D510	I8_PseudoAssy	TST-2519-0000-000-D510	002	Установка кресел пилотов. ПСК
TST-2520-0000-001-D500	I8_PseudoAssy	TST-2520-0000-001-D500	001	Салон пассажиров в ПК. Компоновочная схема
TST-2521-0000-000-D510	I8_PseudoAssy	TST-2521-0000-000-D510	001	Установка полок багажных.ПСК
TST-2530-0000-001-D500	I8_PseudoAssy	TST-2530-0000-001-D500	002	Стойки кухонные в ПК. ПСО
TST-2531-0000-000-D510	I8_PseudoAssy	TST-2531-0000-000-D510	001	Установка стойки кухонной G1. ПСК
TST-2540-0000-001-D500	I8_PseudoAssy	TST-2540-0000-001-D500	001	Модули туалетные в ПК. ПСО
TST-2550-0000-001-D500	I8_PseudoAssy	TST-2550-0000-001-D500	001	Отсеки бытовые в ПК. ПСО
TST-2551-0410-001-D510	I8_PseudoAssy	TST-2551-0410-001-D510	001	Установка панелей потолочных. ПСК
TST-2551-0415-001-D510	I8_PseudoAssy	TST-2551-0415-001-D510	001	Установка демпфирующих прокладок. ПСК
TST-2552-0410-001-D510	I8_PseudoAssy	TST-2552-0410-001-D510	001	Установка панелей потолочных. ПСК
TST-2552-0415-001-D510	I8_PseudoAssy	TST-2552-0415-001-D510	001	Установка демпфирующих прокладок. ПСК
TST-2560-0000-001-D500	I8_PseudoAssy	TST-2560-0000-001-D500	001	Оборудование аварийно-спасательное в ПК. ПСО
TST-2560-A000-001-D500	I8_PseudoAssy	TST-2560-A000-001-D500	001	Оборудование аварийно-спасательное отсеке Ф1. ПСО
TST-2564-0600-001-D510	I8_PseudoAssy	TST-2564-0600-001-D510	001	Установка каната спасательного. ПСК
TST-2564-0600-002-D510	I8_PseudoAssy	TST-2564-0600-002-D510	001	Установка каната спасательного. ПСК
TST-2565-0300-001-D510	I8_PseudoAssy	TST-2565-0300-001-D510	001	Установка аптечек первой помощи. ПСК
TST-2565-0320-001-D441	I8_MaterialEM	TST-2565-0320-001-D441	001	Лента. ЭМГМ
TST-2565-0320-002-D441	I8_MaterialEM	TST-2565-0320-002-D441	001	Застежка. ЭМГМ
TST-2565-0330-001-D441	I8_MaterialEM	TST-2565-0330-001-D441	001	Лента. ЭМГМ
TST-2565-0330-002-D441	I8_MaterialEM	TST-2565-0330-002-D441	001	Застежка. ЭМГМ
TST-2565-0400-001-D510	I8_PseudoAssy	TST-2565-0400-001-D510	001	Установка электромегафонов. ПСК
TST-2565-0420-001-D441	I8_MaterialEM	TST-2565-0420-001-D441	001	Лента. ЭМГМ
TST-2565-0420-002-D441	I8_MaterialEM	TST-2565-0420-002-D441	001	Застежка. ЭМГМ
TST-2565-0430-001-D441	I8_MaterialEM	TST-2565-0430-001-D441	001	Лента. ЭМГМ
TST-2565-0430-002-D441	I8_MaterialEM	TST-2565-0430-002-D441	001	Застежка. ЭМГМ
TST-2570-0000-001-D500	I8_PseudoAssy	TST-2570-0000-001-D500	001	Пассажирские сервисные панели в ПК. ПСО
TST-2601-1000-000-D510	I8_PseudoAssy	TST-2601-1000-000-D510	006	Установка блока контроля и управления. ПСК
TST-2601-1000-001-D441	I8_MaterialEM	TST-2601-1000-001-D441	001	Герметик. ЭМГМ
TST-2601-B000-011-D500	I8_PseudoAssy	TST-2601-B000-011-D500	001	Система контроля и управления в отсеке Ф2. ПСО
TST-2610-A000-011-D500	I8_PseudoAssy	TST-2610-A000-011-D500	001	Система пожарной сигнализации в отсеке Ф1. ПСО
TST-2610-B000-011-D500	I8_PseudoAssy	TST-2610-B000-011-D500	001	Система пожарной сигнализации в отсеке Ф2. ПСО
TST-2610-D000-011-D500	I8_PseudoAssy	TST-2610-D000-011-D500	001	Система пожарной сигнализации в отсеке Ф4. ПСО
TST-2610-DK00-011-D500	I8_PseudoAssy	TST-2610-DK00-011-D500	001	Система пожарной сигнализации в отсеке Ф4а. ПСО
TST-2610-E000-011-D500	I8_PseudoAssy	TST-2610-E000-011-D500	001	Система пожарной сигнализации в отсеке Ф5. ПСО
TST-2610-K000-011-D500	I8_PseudoAssy	TST-2610-K000-011-D500	001	Система пожарной сигнализации в правой маршевой силовой установке. ПСО
TST-2610-M000-011-D500	I8_PseudoAssy	TST-2610-M000-011-D500	001	Система пожарной сигнализации в левой маршевой силовой установке. ПСО
TST-2611-1000-000-D510	I8_PseudoAssy	TST-2611-1000-000-D510	003	Установка датчиков пожара СПС в отсеке МСУ. ПСК
TST-2611-1000-003-D510	I8_PseudoAssy	TST-2611-1000-003-D510	002	Установка датчиков пожара СПС в отсеке МСУ. ПСК
TST-2611-1100-000-D510	I8_PseudoAssy	TST-2611-1100-000-D510	002	Панель. ПСК
TST-2611-1200-001-D510	I8_PseudoAssy	TST-2611-1200-001-D510	002	Установка кронштейнов для управляющих проводов самолетных агрегатов. Правый пилон. ПСК

TST-2611-1200-003-D510	I8_PseudoAssy	TST-2611-1200-003-D510	002	Установка кронштейнов для управляющих проводов самолетных агрегатов. Левый пилон. ПСК
TST-2612-1000-000-D510	I8_PseudoAssy	TST-2612-1000-000-D510	005	Установка датчиков пожара СПС в отсеке ВСУ. ПСК
TST-2612-1003-000-D510	I8_PseudoAssy	TST-2612-1003-000-D510	003	Кронштейн с хомутом. ПСК
TST-2612-1004-000-D510	I8_PseudoAssy	TST-2612-1004-000-D510	003	Кронштейн с хомутом. ПСК
TST-2613-1000-000-D510	I8_PseudoAssy	TST-2613-1000-000-D510	006	Установка датчиков дыма в БГО 1. (Отсек Ф2). ПСК
TST-2613-1030-000-D510	I8_PseudoAssy	TST-2613-1030-000-D510	001	Установка кронштейнов. ПСК
TST-2613-3000-000-D510	I8_PseudoAssy	TST-2613-3000-000-D510	006	Установка датчиков дыма в БГО2. (Отсек Ф4). ПСК
TST-2613-3008-000-D510	I8_PseudoAssy	TST-2613-3008-000-D510	003	Кожух защитный. ПСК
TST-2613-3009-001-D510	I8_PseudoAssy	TST-2613-3009-001-D510	002	Профиль. ПСК
TST-2613-3009-002-D510	I8_PseudoAssy	TST-2613-3009-002-D510	002	Профиль. ПСК
TST-2613-3010-000-D510	I8_PseudoAssy	TST-2613-3010-000-D510	002	Профиль. ПСК
TST-2613-3012-000-D510	I8_PseudoAssy	TST-2613-3012-000-D510	002	Кожух защитный. ПСК
TST-2613-3013-001-D510	I8_PseudoAssy	TST-2613-3013-001-D510	001	Профиль. ПСК
TST-2613-3013-002-D510	I8_PseudoAssy	TST-2613-3013-002-D510	001	Профиль. ПСК
TST-2613-3030-000-D510	I8_PseudoAssy	TST-2613-3030-000-D510	001	Установка кронштейнов. ПСК
TST-2613-5000-000-D510	I8_PseudoAssy	TST-2613-5000-000-D510	006	Установка датчиков дыма в БГО 2 (Отсек Ф4А). ПСК
TST-2613-5001-000-D510	I8_PseudoAssy	TST-2613-5001-000-D510	001	Профиль. ПСК
TST-2613-5030-000-D510	I8_PseudoAssy	TST-2613-5030-000-D510	001	Установка кронштейнов. ПСК
TST-2620-A000-011-D500	I8_PseudoAssy	TST-2620-A000-011-D500	001	Система пожаротушения в отсеке Ф1. ПСО
TST-2620-B000-011-D500	I8_PseudoAssy	TST-2620-B000-011-D500	001	Система пожаротушения в отсеке Ф2. ПСО
TST-2620-C000-011-D500	I8_PseudoAssy	TST-2620-C000-011-D500	001	Система пожаротушения в отсеке Ф3. ПСО
TST-2620-D000-011-D500	I8_PseudoAssy	TST-2620-D000-011-D500	001	Система пожаротушения в отсеке Ф4. ПСО
TST-2620-DK00-011-D500	I8_PseudoAssy	TST-2620-DK00-011-D500	001	Система пожаротушения в отсеке Ф4а. ПСО
TST-2620-E000-011-D500	I8_PseudoAssy	TST-2620-E000-011-D500	001	Система пожаротушения в отсеке Ф5. ПСО
TST-2620-F000-011-D500	I8_PseudoAssy	TST-2620-F000-011-D500	001	Система пожаротушения в крыле (правая консоль). ПСО
TST-2620-G000-011-D500	I8_PseudoAssy	TST-2620-G000-011-D500	001	Система пожаротушения в крыле (левая консоль). ПСО
TST-2620-K000-011-D500	I8_PseudoAssy	TST-2620-K000-011-D500	001	Система пожаротушения в правой маршевой силовой установке. ПСО
TST-2620-M000-011-D500	I8_PseudoAssy	TST-2620-M000-011-D500	001	Система пожаротушения в левой маршевой силовой установке. ПСО
TST-2620-N000-011-D500	I8_PseudoAssy	TST-2620-N000-011-D500	001	Система пожаротушения в пилоне  правом. ПСО
TST-2620-P000-011-D500	I8_PseudoAssy	TST-2620-P000-011-D500	001	Система пожаротушения в пилоне левом. ПСО
TST-2621-1100-000-D510	I8_PseudoAssy	TST-2621-1100-000-D510	006	Установка огнетушителей МСУ. ПСК
TST-2621-1101-000-D510	I8_PseudoAssy	TST-2621-1101-000-D510	006	Установка кронштейнов. ПСК
TST-2621-1105-001-D510	I8_PseudoAssy	TST-2621-1105-001-D510	001	Ложемент. ПСК
TST-2621-1106-001-D510	I8_PseudoAssy	TST-2621-1106-001-D510	001	Ложемент. ПСК
TST-2621-1400-000-D510	I8_PseudoAssy	TST-2621-1400-000-D510	006	Монтаж трубопровода СПТ двигателя правого. ПСК
TST-2621-1410-000-D510	I8_PseudoAssy	TST-2621-1410-000-D510	004	Установка кронштейнов. ПСК
TST-2621-1412-000-D510	I8_PseudoAssy	TST-2621-1412-000-D510	001	Кронштейн. ПСК
TST-2621-1500-000-D510	I8_PseudoAssy	TST-2621-1500-000-D510	008	Монтаж трубопровода СПТ двигателя левого. ПСК
TST-2621-1510-000-D510	I8_PseudoAssy	TST-2621-1510-000-D510	005	Установка кронштейнов. ПСК
TST-2621-1511-000-D510	I8_PseudoAssy	TST-2621-1511-000-D510	001	Кронштейн. ПСК
TST-2621-1512-000-D510	I8_PseudoAssy	TST-2621-1512-000-D510	002	Кронштейн. ПСК
TST-2621-4000-000-D510	I8_PseudoAssy	TST-2621-4000-000-D510	004	Монтаж трубопровода СПТ двигателя правого в крыле. ПСК
TST-2621-4002-000-D510	I8_PseudoAssy	TST-2621-4002-000-D510	001	Кронштейн. ПСК
TST-2621-4008-001-D510	I8_PseudoAssy	TST-2621-4008-001-D510	001	Кронштейн. ПСК
TST-2621-4100-000-D510	I8_PseudoAssy	TST-2621-4100-000-D510	002	Установка кронштейнов. ПСК
TST-2621-4101-000-D510	I8_PseudoAssy	TST-2621-4101-000-D510	001	Кронштейн. ПСК
TST-2621-4103-000-D510	I8_PseudoAssy	TST-2621-4103-000-D510	001	Кронштейн. ПСК
TST-2621-4104-000-D510	I8_PseudoAssy	TST-2621-4104-000-D510	001	Кронштейн. ПСК
TST-2621-5000-000-D510	I8_PseudoAssy	TST-2621-5000-000-D510	003	Монтаж трубопровода СПТ двигателя левого в крыле. ПСК
TST-2621-5100-000-D510	I8_PseudoAssy	TST-2621-5100-000-D510	002	Установка кронштейнов. ПСК
TST-2621-5102-000-D510	I8_PseudoAssy	TST-2621-5102-000-D510	001	Кронштейн. ПСК
TST-2621-5104-000-D510	I8_PseudoAssy	TST-2621-5104-000-D510	001	Кронштейн. ПСК
TST-2621-5105-000-D510	I8_PseudoAssy	TST-2621-5105-000-D510	001	Кронштейн. ПСК
TST-2621-7000-000-D510	I8_PseudoAssy	TST-2621-7000-000-D510	004	Монтаж трубопровода СПТ правого двигателя в пилоне. ПСК
TST-2621-7100-000-D510	I8_PseudoAssy	TST-2621-7100-000-D510	004	Установка кронштейнов. ПСК
TST-2621-7103-000-D510	I8_PseudoAssy	TST-2621-7103-000-D510	001	Кронштейн. ПСК
TST-2621-7104-000-D510	I8_PseudoAssy	TST-2621-7104-000-D510	001	Кронштейн. ПСК
TST-2621-7105-000-D510	I8_PseudoAssy	TST-2621-7105-000-D510	001	Кронштейн. ПСК
TST-2621-7106-000-D510	I8_PseudoAssy	TST-2621-7106-000-D510	001	Кронштейн. ПСК
TST-2621-7107-000-D510	I8_PseudoAssy	TST-2621-7107-000-D510	001	Кронштейн. ПСК
TST-2621-7108-001-D510	I8_PseudoAssy	TST-2621-7108-001-D510	001	Кронштейн. ПСК
TST-2621-7108-002-D510	I8_PseudoAssy	TST-2621-7108-002-D510	001	Кронштейн. ПСК
TST-2621-8000-000-D510	I8_PseudoAssy	TST-2621-8000-000-D510	004	Монтаж трубопровода СПТ левого двигателя в пилоне. ПСК
TST-2621-8100-000-D510	I8_PseudoAssy	TST-2621-8100-000-D510	004	Установка кронштейнов. ПСК
TST-2621-8103-000-D510	I8_PseudoAssy	TST-2621-8103-000-D510	001	Кронштейн. ПСК
TST-2621-8105-000-D510	I8_PseudoAssy	TST-2621-8105-000-D510	001	Кронштейн. ПСК
TST-2621-9000-001-D510	I8_PseudoAssy	TST-2621-9000-001-D510	002	Установка форсунки распылительной. ПСК
TST-2622-1100-000-D510	I8_PseudoAssy	TST-2622-1100-000-D510	007	Установка огнетушителя ВСУ. ПСК
TST-2622-1103-000-D510	I8_PseudoAssy	TST-2622-1103-000-D510	004	Ложемент. ПСК
TST-2622-1150-000-D510	I8_PseudoAssy	TST-2622-1150-000-D510	003	Установка кронштейнов. ПСК
TST-2622-1200-000-D510	I8_PseudoAssy	TST-2622-1200-000-D510	003	Монтаж трубопровода СПТ ВСУ. ПСК
TST-2622-1203-000-D510	I8_PseudoAssy	TST-2622-1203-000-D510	001	Кронштейн. ПСК
TST-2622-1300-000-D510	I8_PseudoAssy	TST-2622-1300-000-D510	004	Установка форсунки распылительной. ПСК
TST-2623-1100-000-D510	I8_PseudoAssy	TST-2623-1100-000-D510	005	Монтаж трубопроводов СПТ БГО 1. ПСК
TST-2623-1130-000-D510	I8_PseudoAssy	TST-2623-1130-000-D510	001	Установка кронштейнов. ПСК
TST-2623-1150-000-D510	I8_PseudoAssy	TST-2623-1150-000-D510	002	Установка экранов защитных. ПСК
TST-2623-1152-000-D510	I8_PseudoAssy	TST-2623-1152-000-D510	001	Экран защитный. ПСК
TST-2623-1155-000-D510	I8_PseudoAssy	TST-2623-1155-000-D510	001	Экран защитный. ПСК
TST-2623-1156-000-D510	I8_PseudoAssy	TST-2623-1156-000-D510	001	Экран защитный. ПСК
TST-2623-1157-000-D510	I8_PseudoAssy	TST-2623-1157-000-D510	001	Экран защитный. ПСК
TST-2623-1200-000-D510	I8_PseudoAssy	TST-2623-1200-000-D510	004	Установка форсунок распылительных. ПСК
TST-2623-2100-000-D510	I8_PseudoAssy	TST-2623-2100-000-D510	005	Установка огнетушителей БГО. ПСК
TST-2623-2110-000-D510	I8_PseudoAssy	TST-2623-2110-000-D510	005	Установка кронштейнов. ПСК
TST-2623-2200-000-D510	I8_PseudoAssy	TST-2623-2200-000-D510	006	Монтаж трубопроводов СПТ БГО 1. ПСК
TST-2623-2212-000-D510	I8_PseudoAssy	TST-2623-2212-000-D510	001	Кронштейн. ПСК
TST-2623-2217-000-D510	I8_PseudoAssy	TST-2623-2217-000-D510	001	Кронштейн. ПСК
TST-2623-2220-000-D510	I8_PseudoAssy	TST-2623-2220-000-D510	001	Кронштейн. ПСК
TST-2623-2221-000-D510	I8_PseudoAssy	TST-2623-2221-000-D510	001	Кронштейн. ПСК
TST-2623-2223-000-D510	I8_PseudoAssy	TST-2623-2223-000-D510	001	Кронштейн. ПСК
TST-2623-2230-000-D510	I8_PseudoAssy	TST-2623-2230-000-D510	001	Установка кронштейнов. ПСК
TST-2623-2235-000-D510	I8_PseudoAssy	TST-2623-2235-000-D510	001	Кронштейн. ПСК
TST-2623-2235-001-D510	I8_PseudoAssy	TST-2623-2235-001-D510	001	Кронштейн. ПСК
TST-2623-2236-001-D510	I8_PseudoAssy	TST-2623-2236-001-D510	001	Кронштейн. ПСК
TST-2623-2237-000-D510	I8_PseudoAssy	TST-2623-2237-000-D510	001	Кронштейн. ПСК
TST-2623-2238-000-D510	I8_PseudoAssy	TST-2623-2238-000-D510	001	Кронштейн. ПСК
TST-2623-2250-000-D510	I8_PseudoAssy	TST-2623-2250-000-D510	002	Установка экранов защитных. ПСК
TST-2623-2252-000-D510	I8_PseudoAssy	TST-2623-2252-000-D510	001	Экран защитный. ПСК
TST-2623-2300-000-D510	I8_PseudoAssy	TST-2623-2300-000-D510	007	Монтаж трубопроводов СПТ БГО 2. ПСК
TST-2623-2306-000-D510	I8_PseudoAssy	TST-2623-2306-000-D510	001	Кронштейн. ПСК
TST-2623-2307-000-D510	I8_PseudoAssy	TST-2623-2307-000-D510	001	Кронштейн. ПСК
TST-2623-2330-000-D510	I8_PseudoAssy	TST-2623-2330-000-D510	001	Установка кронштейнов. ПСК
TST-2623-2350-000-D510	I8_PseudoAssy	TST-2623-2350-000-D510	003	Установка экранов защитных. ПСК
TST-2623-2352-000-D510	I8_PseudoAssy	TST-2623-2352-000-D510	001	Экран защитный. ПСК
TST-2623-3100-000-D510	I8_PseudoAssy	TST-2623-3100-000-D510	007	Монтаж трубопроводов СПТ БГО 2. ПСК
TST-2623-3102-000-D510	I8_PseudoAssy	TST-2623-3102-000-D510	001	Кронштейн. ПСК
TST-2623-3130-000-D510	I8_PseudoAssy	TST-2623-3130-000-D510	001	Установка кронштейнов. ПСК
TST-2623-3150-000-D510	I8_PseudoAssy	TST-2623-3150-000-D510	003	Установка экранов защитных. ПСК
TST-2623-3152-000-D510	I8_PseudoAssy	TST-2623-3152-000-D510	001	Экран защитный. ПСК
TST-2623-3153-000-D510	I8_PseudoAssy	TST-2623-3153-000-D510	002	Экран защитный. ПСК
TST-2623-3154-000-D510	I8_PseudoAssy	TST-2623-3154-000-D510	001	Экран защитный. ПСК
TST-2623-3155-000-D510	I8_PseudoAssy	TST-2623-3155-000-D510	001	Экран защитный. ПСК
TST-2623-3157-000-D510	I8_PseudoAssy	TST-2623-3157-000-D510	001	Экран защитный. ПСК
TST-2623-3158-000-D510	I8_PseudoAssy	TST-2623-3158-000-D510	001	Экран защитный. ПСК
TST-2623-3200-000-D510	I8_PseudoAssy	TST-2623-3200-000-D510	004	Установка форсунок распылительных. ПСК
TST-2623-5100-000-D510	I8_PseudoAssy	TST-2623-5100-000-D510	005	Монтаж трубопроводов СПТ БГО 2. ПСК
TST-2623-5130-000-D510	I8_PseudoAssy	TST-2623-5130-000-D510	001	Установка кронштейнов. ПСК
TST-2623-5150-000-D510	I8_PseudoAssy	TST-2623-5150-000-D510	003	Установка экранов защитных. ПСК
TST-2623-5151-000-D510	I8_PseudoAssy	TST-2623-5151-000-D510	001	Экран защитный. ПСК
TST-2623-5200-000-D510	I8_PseudoAssy	TST-2623-5200-000-D510	004	Установка форсунок распылительных. ПСК
TST-2624-2000-003-D510	I8_PseudoAssy	TST-2624-2000-003-D510	001	Установка огнетушителя в контейнере мусоросборном модуля туалетного L2. ПСК
TST-2624-5000-003-D510	I8_PseudoAssy	TST-2624-5000-003-D510	001	Установка огнетушителя в контейнере мусоросборном модуля туалетного L5. ПСК
TST-2710-0030-100-PKI1	I8_PKIAssy_draft	TST-2710-0030-100-PKI1	003	Универсальная боковая ручка управления правая
TST-2710-0030-200-PKI1	I8_PKIAssy_draft	TST-2710-0030-200-PKI1	003	Универсальная боковая ручка управления левая
TST-2710-1000-001-D510	I8_PseudoAssy	TST-2710-1000-001-D510	003	Установка универсальной боковой ручки управления правая. ПСК
TST-2710-1000-002-D510	I8_PseudoAssy	TST-2710-1000-002-D510	003	Установка универсальной боковой ручки управления левая. ПСК
TST-2715-0010-001-D491	I8_PseudoAssy	TST-2715-0010-001-D491	004	Установка приводов элерона правая. Обстановка ХЧК в зоне элерона правая. ПСДО
TST-2715-0010-002-D491	I8_PseudoAssy	TST-2715-0010-002-D491	004	Установка приводов элерона левая. Обстановка ХЧК в зоне элерона левая. ПСДО
TST-2715-0010-003-D491	I8_PseudoAssy	TST-2715-0010-003-D491	003	Установка приводов элерона правая. Обстановка элерон правый. ПСДО
TST-2715-0010-004-D491	I8_PseudoAssy	TST-2715-0010-004-D491	003	Установка приводов элерона левая. Обстановка элерон левый. ПСДО
TST-2715-0010-005-D491	I8_PseudoAssy	TST-2715-0010-005-D491	002	Установка приводов элерона правая. Обстановка кронштейн привода 6 правый. ПСДО
TST-2715-0010-006-D491	I8_PseudoAssy	TST-2715-0010-006-D491	002	Установка приводов элерона левая. Обстановка кронштейн привода 6 левый. ПСДО
TST-2715-0010-007-D491	I8_PseudoAssy	TST-2715-0010-007-D491	002	Установка приводов элерона правая. Обстановка кронштейн привода 7 правый. ПСДО
TST-2715-0010-008-D491	I8_PseudoAssy	TST-2715-0010-008-D491	002	Установка приводов элерона левая. Обстановка кронштейн привода 7 левый. ПСДО
TST-2715-0010-009-D491	I8_PseudoAssy	TST-2715-0010-009-D491	003	Установка приводов элерона правая. Обстановка кронштейн привода 1 правый. ПСДО
TST-2715-0010-010-D491	I8_PseudoAssy	TST-2715-0010-010-D491	003	Установка приводов элерона левая. Обстановка кронштейн привода 1 левый. ПСДО
TST-2715-0010-011-D491	I8_PseudoAssy	TST-2715-0010-011-D491	003	Установка приводов элерона правая. Обстановка кронштейн привода 2 правый. ПСДО
TST-2715-0010-012-D491	I8_PseudoAssy	TST-2715-0010-012-D491	003	Установка приводов элерона левая. Обстановка кронштейн привода 2 левый. ПСДО
TST-2715-0041-000-PKI1	I8_PKIAssy_draft	TST-2715-0041-000-PKI1	007	Электрогидравлический рулевой привод элерона тип А
TST-2715-0042-000-PKI1	I8_PKIAssy_draft	TST-2715-0042-000-PKI1	007	Электрогидравлический рулевой привод элерона тип В
TST-2720-0010-000-PKI1	I8_PKIAssy_draft	TST-2720-0010-000-PKI1	006	Педальный пост управления
TST-2720-1000-000-D510	I8_PseudoAssy	TST-2720-1000-000-D510	003	Установка педальных постов управления. ПСК
TST-2725-0010-001-D491	I8_PseudoAssy	TST-2725-0010-001-D491	002	Установка приводов руля направления. Обстановка кессон киля. ПСДО
TST-2725-0010-002-D491	I8_PseudoAssy	TST-2725-0010-002-D491	003	Установка приводов руля направления. Обстановка кронштейн 1 навески РН. ПСДО
TST-2725-0010-003-D491	I8_PseudoAssy	TST-2725-0010-003-D491	003	Установка приводов руля направления. Обстановка кронштейн 2 навески РН. ПСДО
TST-2725-0010-004-D491	I8_PseudoAssy	TST-2725-0010-004-D491	003	Установка приводов руля направления. Обстановка кронштейн 3 навески РН. ПСДО
TST-2725-0010-005-D491	I8_PseudoAssy	TST-2725-0010-005-D491	003	Установка приводов руля направления. Обстановка руль направления. ПСДО
TST-2725-0010-006-D491	I8_PseudoAssy	TST-2725-0010-006-D491	004	Установка приводов руля направления. Обстановка часть киля хвостовая. ПСДО
TST-2725-0010-007-D491	I8_PseudoAssy	TST-2725-0010-007-D491	002	Установка приводов руля направления. Обстановка кронштейн привода 1 РН. ПСДО
TST-2725-0010-008-D491	I8_PseudoAssy	TST-2725-0010-008-D491	002	Установка приводов руля направления. Обстановка кронштейн привода 2 РН. ПСДО
TST-2725-0010-009-D491	I8_PseudoAssy	TST-2725-0010-009-D491	002	Установка приводов руля направления. Обстановка кронштейн привода 3 РН. ПСДО
TST-2725-0041-000-PKI1	I8_PKIAssy_draft	TST-2725-0041-000-PKI1	007	Электрогидравлический рулевой привод руля направления тип А
TST-2725-0042-000-PKI1	I8_PKIAssy_draft	TST-2725-0042-000-PKI1	007	Электрогидравлический рулевой привод руля направления тип В
TST-2735-0010-001-D491	I8_PseudoAssy	TST-2735-0010-001-D491	005	Установка приводов руля высоты правая. Обстановка хвостовая часть стабилизатора в зоне руля высоты правая. ПСДО
